Location Name,"Street Address (Required, street name and number)",City (Required),"State (Required, NN format)",Zip Code (Required),"Latitude (Optional, nnn.nnnnnn)","Longitude (Optional, nnn.nnnnnn)",Location Type (Optional),Location Group (Optional)
Snead State Community College,102 Elder Street,Boaz,AL,35957-0734,34.201495,-86.169897,,Distant Town
Troy University,University Avenue,Troy,AL,36082-0001,31.800672,-85.957094,,Remote Town
Tuskegee University,"Kresge Center, 3rd Floor",Tuskegee,AL,36088-1920,32.4309,-85.708492,,Distant Town
Alabama State University,915 S Jackson Street,Montgomery,AL,36104-0271,32.364317,-86.295677,,Midsize City
Huntingdon College,1500 East Fairview Avenue,Montgomery,AL,36106-2148,32.351034,-86.284366,,Midsize City
H Councill Trenholm State Community College,1225 Air Base Blvd,Montgomery,AL,36108-3199,32.350109,-86.343057,,Midsize City
Faulkner University,5345 Atlanta Hwy,Montgomery,AL,36109-3390,32.384181,-86.21641,,Midsize City
Amridge University,1200 Taylor Rd,Montgomery,AL,36117-3553,32.362609,-86.17401,,Midsize City
Auburn University at Montgomery,7440 East Drive,Montgomery,AL,36117-3596,32.36736,-86.177544,,Midsize City
Alabama College of Osteopathic Medicine,445 Health Sciences Boulevard,Dothan,AL,36303-2251,31.206294,-85.340805,,Rural Fringe
George C Wallace Community College-Dothan,1141 Wallace Drive,Dothan,AL,36303-9234,31.315274,-85.465836,,Small City
Enterprise State Community College,600 Plaza Drive,Enterprise,AL,36330-1300,31.297496,-85.836956,,Distant Town
Lurleen B Wallace Community College,1000 Dannelly Blvd.,Andalusia,AL,36420-1224,31.322947,-86.452262,,Rural Fringe
Coastal Alabama Community College,1900 U S Highway 31 South,Bay Minette,AL,36507-2698,30.851343,-87.778193,,Distant Town
United States Sports Academy,One Academy Drive,Daphne,AL,36526-7055,30.639329,-87.91163,,Small City
Alabama School of Nail Technology & Cosmetology,202 Commerce Street,Jackson,AL,36545-2718,31.50997,-87.893386,,Remote Town
Columbia Southern University,21982 University Lane,Orange Beach,AL,36561-9000,30.329288,-87.653162,,Fringe Town
Bishop State Community College,351 North Broad Street,Mobile,AL,36603-5898,30.693972,-88.056982,,Midsize City
Spring Hill College,4000 Dauphin St,Mobile,AL,36608-1791,30.694751,-88.138199,,Midsize City
University of Mobile,5735 College Parkway,Mobile,AL,36613-2842,30.793247,-88.128934,,Rural Fringe
University of South Alabama,307 N University Blvd,Mobile,AL,36688-0002,30.696033,-88.178711,,Midsize City
George C Wallace State Community College-Selma,3000 Earl Goodwin Parkway,Selma,AL,36703-2808,32.445917,-87.013294,,Distant Town
Marion Military Institute,1101 Washington St,Marion,AL,36756-3207,32.623734,-87.322041,,Rural Remote
Austin Presbyterian Theological Seminary- YMCA Outdoor Center,3088 Smith Springs Road,Antioch,TN,37013-2791,36.087964,-86.588992,,Large City
Austin's Beauty College Inc,585A South Riverside Drive,Clarksville,TN,37040-1121,36.521386,-87.362846,,Midsize City
Franklin Hair Academy School of Cosmetology,"595 Hillsboro Road, Suite 325",Franklin,TN,37064-2126,35.932691,-86.880233,,Small City
Volunteer State Community College,1480 Nashville Pike,Gallatin,TN,37066-3188,36.362518,-86.497127,,Large Suburb
Welch College,1045 Bison Trail,Gallatin,TN,37066-8460,36.36719,-86.549153,,Rural Fringe
EduMed Partners,907 Rivergate Pky. Suite D2,Goodlettsville,TN,37072-2329,36.299536,-86.700979,,Large Suburb
Tennessee College of Applied Technology-Hartsville,716 McMurry Blvd East,Hartsville,TN,37074-2028,36.387191,-86.14366,,Rural Distant
Paul Mitchell the School-Murfreesboro-Nashville,235 E Main Street Suite 200,Hendersonville,TN,37075-2541,36.307547,-86.601113,,Large Suburb
Image Maker Beauty Institute,"139 Maple Row Boulevard, Suite 208",Hendersonville,TN,37075-4488,36.304927,-86.601706,,Large Suburb
Mind Body Institute,1556 Crestview Dr,Madison,TN,37115-2120,36.29177,-86.706249,,Large City
Tennessee College of Applied Technology-Murfreesboro,1303 Old Fort Pky,Murfreesboro,TN,37129-3311,35.845661,-86.41026,,Midsize City
"American College of Barbering - Murfreesboro,TN",1233 Commerce Park,Murfreesboro,TN,37130-4995,35.827761,-86.3915,,Midsize City
"American College of Barbering - Murfreesboro,TN",1233 Commerce Park,Murfreesboro,TN,37130-4995,35.827761,-86.3915,,Midsize City
Allied Health Careers Institute,1237 Commerce Park,Murfreesboro,TN,37130-5996,35.827799,-86.391495,,Midsize City
Master's Barber & Styling College,14665 D Lebanon Road,Old Hickory,TN,37138-4676,36.219691,-86.571436,,Large Suburb
Tennessee College of Applied Technology-Shelbyville,1405 Madison St,Shelbyville,TN,37160-3629,35.485655,-86.421097,,Distant Town
John A Gupton College,1616 Church St,Nashville,TN,37203-2954,36.156633,-86.7948,,Large City
Lipscomb University,One University Park Drive,Nashville,TN,37204-3951,36.106253,-86.799791,,Large City
American Baptist College,1800 Baptist World Ctr Dr,Nashville,TN,37207-9980,36.202623,-86.789912,,Large City
Fisk University,1000 17th Ave North,Nashville,TN,37208-4501,36.167087,-86.804805,,Large City
Tennessee State University,3500 John A. Merritt Blvd,Nashville,TN,37209-1561,36.166321,-86.828275,,Large City
Nashville State Community College,120 White Bridge Rd,Nashville,TN,37209-4515,36.134857,-86.857342,,Large City
Tennessee College of Applied Technology Nashville,100 White Bridge Rd,Nashville,TN,37209-4515,36.132649,-86.856335,,Large City
Nashville Film Institute,191 Polk Avenue,Nashville,TN,37210-4225,36.135712,-86.748045,,Large City
Shear Perfection Academy of Cosmetology,5620 Nolesville Pike,Nashville,TN,37211-3020,36.04762,-86.709812,,Large City
Belmont University,1900 Belmont Blvd,Nashville,TN,37212-3757,36.135589,-86.794807,,Large City
The Salon Professional Academy-Nashville,"2710 Old Lebanon Road, Suite 6",Nashville,TN,37214-2163,36.170543,-86.667242,,Large City
Brillare Beauty Institute,1605 Professional Park Drive NW,Cleveland,TN,37312-3862,35.191417,-84.881446,,Small City
Southern Adventist University,4881 Taylor Cir,Collegedale,TN,37315-0370,35.048254,-85.052088,,Large Suburb
Pentecostal Theological Seminary,900 Walker St NE,Cleveland,TN,37320-3330,35.162528,-84.868326,,Small City
Omega Graduate School,500 Oxford Drive,Dayton,TN,37321-6736,35.468142,-85.053774,,Rural Fringe
The Hair Academy LLC,513 West College Street,Fayetteville,TN,37334-0135,35.153554,-86.577055,,Distant Town
Tennessee College of Applied Technology-Athens,1635 Technology Way,Athens,TN,37371-0848,35.442944,-84.630484,,Distant Town
The University of the South,735 University Avenue,Sewanee,TN,37383-1000,35.204719,-85.920179,,Rural Distant
The University of Tennessee-Chattanooga,615 McCallie Ave,Chattanooga,TN,37403-2598,35.047519,-85.300247,,Midsize City
Platt College-Miller-Motte College-Chattanooga 2,4180 South Creek Road,Chattangooga,TN,37406-1021,35.092311,-85.240436,,Midsize City
Chattanooga State Community College,4501 Amnicola Hwy,Chattanooga,TN,37406-1097,35.100202,-85.237389,,Midsize City
Ross Medical Education Center-Johnson City,3021 East Oakland Avenue,Johnson City,TN,37601-1526,36.35971,-82.383171,,Small City
Jenny Lea Academy of Cosmetology,222 E Unaka Ave,Johnson City,TN,37601-4626,36.32439,-82.354566,,Small City
Northeast State Community College,2425 Hwy 75,Blountville,TN,37617-0246,36.484961,-82.408885,,Rural Fringe
King University,1350 King College Rd,Bristol,TN,37620-2699,36.585309,-82.159421,,Small City
Tennessee College of Applied Technology-Harriman,1745 Harriman Highway,Harriman,TN,37748-5849,35.966107,-84.517871,,Rural Fringe
Lincoln Memorial University,6965 Cumberland Gap Pkwy,Harrogate,TN,37752-9900,36.578508,-83.660198,,Distant Town
Tennessee College of Applied Technology-Oneida-Huntsville,355 Scott High Drive,Huntsville,TN,37756-4149,36.408177,-84.528273,,Distant Town
Maryville College,502 E Lamar Alexander Pkwy,Maryville,TN,37804-5907,35.751505,-83.964223,,Large Suburb
Tennessee College of Applied Technology-Morristown,821 W Louise Ave,Morristown,TN,37813-2094,36.204643,-83.299503,,Small City
Walters State Community College,500 South Davy Crockett Parkway,Morristown,TN,37813-6899,36.213179,-83.262503,,Small City
"Sandra Academy of Salon Services, Inc",907 Main Street,New Tazewell,TN,37825-7239,36.444823,-83.586525,,Distant Town
South College,3904 Lonas Road,Knoxville,TN,37909-0000,35.958283,-83.97362,,Midsize City
Huntington University of Health Sciences,118 Legacy View Way,Knoxville,TN,37918-8230,36.027559,-83.99327,,Large Suburb
South College - Parkside,400 Goody's Lane,Knoxville,TN,37922-0000,35.906748,-84.139571,,Midsize City
Ross Medical Education Center-Knoxville,206 N Seven Oaks Dr,Knoxville,TN,37922-2367,35.912854,-84.096882,,Midsize City
Pellissippi State Community College,10915 Hardin Valley Road,Knoxville,TN,37933-0990,35.948303,-84.166504,,Large Suburb
Dyersburg State Community College,1510 Lake Rd,Dyersburg,TN,38024-2411,36.047565,-89.390791,,Distant Town
Tennessee College of Applied Technology-Whiteville,1685 Highway 64,Whiteville,TN,38075-0489,35.319574,-89.159449,,Rural Distant
Southern College of Optometry,1245 Madison Ave,Memphis,TN,38104-2211,35.138252,-90.019856,,Large City
Memphis College of Art,1930 Poplar Ave,Memphis,TN,38104-2764,35.145929,-89.993761,,Large City
Massage Institute of Memphis,"2076 Union Avenue, Suite 202",Memphis,TN,38104-4138,35.134871,-89.992526,,Large City
Memphis Theological Seminary,168 East Parkway South,Memphis,TN,38104-4395,35.13311,-89.982653,,Large City
William R Moore College of Technology,1200 Poplar  Ave,Memphis,TN,38104-7240,35.144855,-90.020138,,Large City
Tennessee College of Applied Technology-Memphis,550 Alabama Ave,Memphis,TN,38105-3604,35.150262,-90.039188,,Large City
Vibe Barber College,880 Thomas Street,Memphis,TN,38107-2538,35.165189,-90.036149,,Large City
Rhodes College,2000 North Parkway,Memphis,TN,38112-1690,35.154405,-89.990803,,Large City
Mid-South Christian College,3097 Knight Road,Memphis,TN,38118-3151,35.064172,-89.911799,,Large City
Gould's Academy,1203 Ridgeway Road # 203,Memphis,TN,38119-5317,35.098298,-89.860578,,Large City
Health-Tech Institute of Memphis,571 Vance Avenue,Memphis,TN,38126-2207,35.134385,-90.043086,,Large City
Le Moyne-Owen College,807 Walker Ave,Memphis,TN,38126-6595,35.118641,-90.034101,,Large City
Gould's Academy,8000 US Highway 64,Bartlett,TN,38133-4067,35.206685,-89.795642,,Large Suburb
Concorde Career College-Memphis,"5100 Poplar Avenue, Suite 132",Memphis,TN,38137-0132,35.112892,-89.891723,,Large City
Jackson State Community College,2046 North Pky,Jackson,TN,38301-3797,35.645571,-88.780005,,Small City
Lane College,545 Lane Ave,Jackson,TN,38301-4598,35.627378,-88.806535,,Small City
Union University,1050 Union University Dr,Jackson,TN,38305-3697,35.676896,-88.858524,,Small City
Freed-Hardeman University,158 E Main St,Henderson,TN,38340-2399,35.440611,-88.637964,,Distant Town
Tennessee College of Applied Technology-Hohenwald,813 West Main,Hohenwald,TN,38462-2201,35.551687,-87.573757,,Remote Town
Tennessee College of Applied Technology-Pulaski,1233 E College St,Pulaski,TN,38478-0614,35.191308,-87.007818,,Distant Town
Martin Methodist College,433 West Madison Street,Pulaski,TN,38478-2799,35.201019,-87.035661,,Distant Town
Genesis Career College-Cookeville,880-A East 10th Street,Cookeville,TN,38501-1907,36.176484,-85.485574,,Remote Town
Fortis Institute-Cookeville,1025 Highway 111,Cookeville,TN,38501-4305,36.143291,-85.478765,,Remote Town
Tennessee Technological University,1 William L. Jones Drive,Cookeville,TN,38505-0001,36.174754,-85.504039,,Remote Town
Fosters Cosmetology College,1813 Hwy 15 N,Ripley,MS,38663-0066,34.755677,-88.942133,,Rural Fringe
Northwest Mississippi Community College,4975 Hwy 51 N,Senatobia,MS,38668-1714,34.625532,-89.969525,,Distant Town
University of Mississippi,"Oxford, Mississippi",University,MS,38677-1848,34.365529,-89.537434,,Remote Town
Goshen School of Cosmetology,710 North Davis Avenue,Cleveland,MS,38732-0000,33.755417,-90.713781,,Remote Town
Itawamba Community College,602 W Hill Street,Fulton,MS,38843-1099,34.276519,-88.412073,,Remote Town
KC's School of Hair Design,280 Turnpike Rd,Pontotoc,MS,38863-0000,34.256411,-89.015947,,Remote Town
Mississippi Valley State University,14000 Highway 82 West,Itta Bena,MS,38941-1400,33.514142,-90.341274,,Remote Town
Alcorn State University,1000 ASU Dr Ste 359,Alcorn State,MS,39096-7500,31.877216,-91.142854,,Rural Remote
Wesley Biblical Seminary,1880 E County Line Road,Ridgeland,MS,39157-1920,32.400142,-90.111379,,Large Suburb
Midwest Technical Institute-Ridgeland,113 Marketridge Drive,Ridgeland,MS,39157-6027,32.402516,-90.178196,,Large Suburb
Millsaps College,1701 N State St,Jackson,MS,39210-0001,32.322746,-90.179957,,Midsize City
Meridian Community College,910 Hwy 19 N,Meridian,MS,39307-5801,32.367355,-88.732823,,Remote Town
East Central Community College,15738 Highway 15,Decatur,MS,39327-0129,32.441164,-89.113706,,Rural Distant
East Mississippi Community College,1512 Kemper Street,Scooba,MS,39358-0158,32.830246,-88.483516,,Rural Remote
The Academy of Hair Design Six,5912 US Hwy 49,Hattiesburg,MS,39401-7569,31.311055,-89.316607,,Small City
University of Southern Mississippi,118 College Drive # 0001,Hattiesburg,MS,39406-0001,31.32661,-89.331236,,Small City
Southeastern Baptist College,4229 Hwy 15 N,Laurel,MS,39440-9989,31.748512,-89.149373,,Distant Town
Southwest Mississippi Community College,1156 College Dr,Summit,MS,39666-0000,31.295121,-90.443295,,Remote Town
Vaughn Beauty College,108 South Maple Street,Aberdeen,MS,39730-3238,33.82442,-88.541839,,Remote Town
Andrew College,501College St,Cuthbert,GA,39840-5550,31.772321,-84.795021,,Distant Town
Jefferson Community and Technical College,101 W Broadway,Louisville,KY,40202-2005,38.246027,-85.753615,,Large City
Spalding University,901 S Fourth Street,Louisville,KY,40203-2188,38.242407,-85.757725,,Large City
Simmons College of Kentucky,1018 South 7th Street,Louisville,KY,40203-3322,38.239519,-85.764811,,Large City
Bellarmine University,2001 Newburg Rd,Louisville,KY,40205-0671,38.219279,-85.704997,,Large City
Louisville Presbyterian Theological Seminary,1044 Alta Vista Rd,Louisville,KY,40205-1798,38.237056,-85.686411,,Large City
Sullivan University,3101 Bardstown Rd,Louisville,KY,40205-3013,38.212824,-85.670489,,Large City
MedQuest College,"10400 Linn Station Road, Suite 120",Louisville,KY,40223-1882,38.224517,-85.560651,,Large Suburb
American College of Barbering,11320 North Preston Highway,Louisville,KY,40229-2862,38.084678,-85.670147,,Large City
The Southern Baptist Theological Seminary,2825 Lexington Rd,Louisville,KY,40280-0001,38.248216,-85.687649,,Large City
University of Louisville,2301 S 3rd St,Louisville,KY,40292-0001,38.216862,-85.760412,,Large City
Georgetown College,400 East College Street,Georgetown,KY,40324-1696,38.207615,-84.553767,,Fringe Town
Midway University,512 E. Stephens St,Midway,KY,40347-1120,38.146126,-84.678142,,Rural Distant
Barrett and Company School of Hair Design,973 South Main St. Kimberly Square,Nicholasville,KY,40356-2152,37.866361,-84.580326,,Fringe Town
Kentucky Community and Technical College System,300 North Main Street,Versailles,KY,40383-1245,38.058771,-84.72788,,Fringe Town
Asbury University,1 Macklem Dr,Wilmore,KY,40390-1198,37.862029,-84.662606,,Fringe Town
Asbury Theological Seminary,204 N Lexington Ave,Wilmore,KY,40390-1199,37.861561,-84.660127,,Fringe Town
Berea College,101 Chestnut Street,Berea,KY,40404-2182,37.57202,-84.292893,,Distant Town
Centre College,625 W Walnut St,Danville,KY,40422-1394,37.645709,-84.779392,,Distant Town
Kentucky Horseshoeing School,3612 Lexington Road,Richmond,KY,40475-1810,37.875066,-84.340899,,Rural Distant
Medical Career & Technical College,630 Eastern Bypass,Richmond,KY,40475-2614,37.734796,-84.309012,,Distant Town
Eastern Kentucky University,521 Lancaster Ave,Richmond,KY,40475-3102,37.740845,-84.300796,,Distant Town
University of Kentucky,South Limestone,Lexington,KY,40506-0032,38.038911,-84.504747,,Large City
Transylvania University,300 N Broadway,Lexington,KY,40508-1797,38.052983,-84.493202,,Large City
Kentucky State University,400 East Main Street,Frankfort,KY,40601-2355,38.201427,-84.855402,,Distant Town
Union College,310 College St,Barbourville,KY,40906-1499,36.870875,-83.888477,,Remote Town
Clear Creek Baptist Bible College,300 Clear Creek Rd,Pineville,KY,40977-9752,36.725236,-83.727702,,Rural Distant
Thomas More University,333 Thomas More Parkway,Crestview Hills,KY,41017-3495,39.022963,-84.568923,,Large Suburb
Ross Medical Education Center-Erlanger,"600 Rodeo Drive, Ste. 2",Erlanger,KY,41018-1279,39.030899,-84.615734,,Large Suburb
Brighton Center's Center for Employment Training,"601 Washington Ave., Suite 140",Newport,KY,41071-1968,39.092904,-84.490096,,Large Suburb
Ashland Community and Technical College,1400 College Drive,Ashland,KY,41101-3683,38.469201,-82.650664,,Small City
Tri-State Barber College,2132 Winchester Avenue,Ashland,KY,41101-7746,38.47515,-82.633351,,Small City
Kentucky Christian University,100 Academic Pkwy,Grayson,KY,41143-1199,38.338805,-82.945561,,Distant Town
South Eastern Beauty Academy,318 Second Street,Paintsville,KY,41240-1034,37.814789,-82.806325,,Remote Town
American National University-Pikeville,50 National College Boulevard,Pikeville,KY,41501-1520,37.539398,-82.607154,,Rural Fringe
Hazard Community and Technical College,One Community College Drive,Hazard,KY,41701-2402,37.234897,-83.175644,,Remote Town
Galen College of Nursing-ARH,100 Airport Gardens Drive,Hazard,KY,41701-9519,37.285896,-83.205298,,Remote Town
West Kentucky Community and Technical College,4810 Alben Barkley Drive,Paducah,KY,42002-7380,37.054081,-88.658762,,Remote Town
Murray State University,218 Wells Hall,Murray,KY,42071-3318,36.612419,-88.323629,,Remote Town
Western Kentucky University,1906 College Heights Blvd,Bowling Green,KY,42101-1000,36.985035,-86.456828,,Small City
Southcentral Kentucky Community and Technical College,1845 Loop Dr,Bowling Green,KY,42101-3601,36.984827,-86.476717,,Small City
Lindsey Institute of Cosmetology,1059 Shive Lane,Bowling Green,KY,42103-8036,36.947279,-86.420808,,Small City
Regina Webb Academy,2425 Scottsville Road,Bowling Green,KY,42104-4457,36.952887,-86.427834,,Small City
Ross College-Hopkinsville,4001 Fort Campbell Boulevard,Hopkinsville,KY,42240-4948,36.834025,-87.474774,,Distant Town
Brescia University,717 Frederica St,Owensboro,KY,42301-3023,37.769041,-87.111639,,Small City
Ross Medical Education Center-Owensboro,410 Southtown Boulevard,Owensboro,KY,42303-7757,37.72084,-87.119243,,Small City
Henderson Community College,2660 S Green St,Henderson,KY,42420-4699,37.797687,-87.650091,,Rural Fringe
Somerset Community College,808 Monticello Street,Somerset,KY,42501-2973,37.059599,-84.617546,,Remote Town
Elizabethtown Community and Technical College,600 College Street Rd,Elizabethtown,KY,42701-3081,37.692858,-85.879927,,Small City
Campbellsville University,1 University Dr,Campbellsville,KY,42718-2799,37.343342,-85.348943,,Distant Town
Lindsey Wilson College,210 Lindsey Wilson St,Columbia,KY,42728-1223,37.101502,-85.299997,,Remote Town
Ohio Wesleyan University,61 S Sandusky Street,Delaware,OH,43015-2370,40.295963,-83.069757,,Large Suburb
Methodist Theological School in Ohio,3081 Columbus Pike,Delaware,OH,43015-3211,40.253643,-83.060146,,Large Suburb
Mason Anthony School of Cosmetology Arts & Sciences,5405 Roberts Road,Hilliard,OH,43026-8252,40.00274,-83.151152,,Large City
Mount Vernon Nazarene University,800 Martinsburg Rd,Mount Vernon,OH,43050-9500,40.372901,-82.471074,,Distant Town
Central Ohio Technical College,1179 University Drive,Newark,OH,43055-1767,40.069314,-82.447441,,Small Suburb
Career and Technology Education Centers of Licking County,150 Price Rd,Newark,OH,43055-3399,40.099973,-82.429175,,Small Suburb
Ohio Christian University,1476 Lancaster Pike,Circleville,OH,43113-9487,39.613155,-82.904885,,Distant Town
Eastland-Fairfield Career and Technical Schools,4300 Amalgamated Place,Groveport,OH,43125-9236,39.88667,-82.884305,,Large Suburb
Ohio University-Lancaster Campus,1570 Granville Pike,Lancaster,OH,43130-1037,39.738752,-82.586069,,Rural Fringe
Capital University,1 College and Main,Columbus,OH,43209-2394,39.954875,-82.937867,,Large Suburb
Franklin University,201 S Grant Ave,Columbus,OH,43215-5399,39.95831,-82.990375,,Large City
Mount Carmel College of Nursing,127 So.  Davis Ave,Columbus,OH,43222-1504,39.956625,-83.021501,,Large City
Felbry College School of Nursing,6055 Cleveland Avenue,Columbus,OH,43231-2256,40.09578,-82.951066,,Large City
Pontifical College Josephinum,7625 N High Street,Columbus,OH,43235-1499,40.120735,-83.018829,,Large City
Marion Technical College,1467 Mount Vernon Ave,Marion,OH,43302-5694,40.577017,-83.089156,,Distant Town
Ohio State University-Marion Campus,1461 Mount Vernon Ave,Marion,OH,43302-5695,40.577779,-83.090597,,Distant Town
Tri-Rivers Career Center,2222 Marion - Mt. Gilead Rd,Marion,OH,43302-8914,40.583077,-83.069824,,Distant Town
Terra State Community College,2830 Napoleon Rd,Fremont,OH,43420-9670,41.354111,-83.157799,,Rural Fringe
Northwest State Community College,22600 State Route 34,Archbold,OH,43502-9542,41.450596,-84.297855,,Rural Distant
Stautzenberger College-Maumee,1796 Indian Wood Circle,Maumee,OH,43537-4007,41.582662,-83.683042,,Large Suburb
Penta County Joint Vocational School,9301 Buck Road,Perrysburg,OH,43551-4594,41.584263,-83.571594,,Large Suburb
Paul Mitchell the School-Toledo,5549 Monroe Street,Sylvania,OH,43560-2539,41.706636,-83.668124,,Large Suburb
Lourdes University,6832 Convent Blvd,Sylvania,OH,43560-2898,41.710009,-83.706108,,Large Suburb
Mercy College of Ohio,2221 Madison Avenue,Toledo,OH,43604-1132,41.658319,-83.552538,,Large City
Davis College,433 N. Summit Street Ste. 202,Toledo,OH,43604-2638,41.652922,-83.532589,,Large City
University of Toledo,2801 W Bancroft,Toledo,OH,43606-3390,41.660572,-83.614714,,Large City
Salon Institute-Toledo Campus,3034 Wilford Drive,Toledo,OH,43615-1731,41.674855,-83.696989,,Large Suburb
Global Tech College,4346 Secor Road,Toledo,OH,43623-4234,41.697492,-83.622983,,Large City
Zane State College,1555 Newark Rd,Zanesville,OH,43701-2626,39.96241,-82.031198,,Distant Town
Elite Academy of Hair Design,3200 Guernsey Street,Bellaire,OH,43906-1544,40.014519,-80.744005,,Small Suburb
Ohio Valley College of Technology,15258 State Route 170,East Liverpool,OH,43920-9585,40.6796,-80.572063,,Fringe Town
Franciscan University of Steubenville,1235 University Blvd,Steubenville,OH,43952-1763,40.376919,-80.620524,,Small City
Trinity Health System School of Nursing,4000 Sunset Boulevard Suite 2631,Steubenville,OH,43952-3512,40.376294,-80.672323,,Small City
Eastern Gateway Community College,110 John Scott Highway,Steubenville,OH,43952-3598,40.376056,-80.672337,,Small City
Baldwin Wallace University,275 Eastland Rd,Berea,OH,44017-2088,41.373017,-81.851145,,Large Suburb
Great Lakes Truck Driving School,27740 Royalton Road,Columbia Station,OH,44028-9074,41.314265,-81.96805,,Rural Fringe
Ohio Business College-Sheffield,5095 Waterford Dr.,Sheffield Village,OH,44035-0701,41.423809,-82.073403,,Midsize Suburb
Lorain County Community College,1005 North Abbe Rd,Elyria,OH,44035-1691,41.413293,-82.073549,,Small City
Ross Medical Education Center-Elyria,120 Market Drive,Elyria,OH,44035-2885,41.386445,-82.105702,,Small City
Northern Institute of Cosmetology,669 Broadway,Lorain,OH,44052-1803,41.465263,-82.174342,,Midsize Suburb
Lake Erie College,391 W Washington St,Painesville,OH,44077-3389,41.717841,-81.251817,,Large Suburb
Lakeland Community College,7700 Clocktower Drive,Kirtland,OH,44094-5198,41.637463,-81.364723,,Large Suburb
Cleveland Institute of Art,11610 Euclid Avenue,Cleveland,OH,44106-1710,41.510435,-81.602416,,Large City
Cleveland Institute of Music,11021 East Blvd,Cleveland,OH,44106-1776,41.512444,-81.608878,,Large City
Allstate Hairstyling & Barber College,2546 Lorain Avenue,Cleveland,OH,44113-3413,41.484002,-81.704403,,Large City
Cleveland State University,2121 Euclid Avenue,Cleveland,OH,44115-2214,41.502281,-81.674355,,Large City
Cuyahoga Community College District,700 Carnegie Ave,Cleveland,OH,44115-2878,41.494906,-81.683533,,Large City
John Carroll University,1 John Carroll Boulevard,University Heights,OH,44118-4538,41.491321,-81.531338,,Large Suburb
Notre Dame College,4545 College Rd,Cleveland,OH,44121-4293,41.506894,-81.516617,,Large Suburb
Inner State Beauty School,5150 Mayfield Road,Lyndhurst,OH,44124-2406,41.519527,-81.494178,,Large Suburb
Remington College-Cleveland Campus,14445 Broadway Ave,Cleveland,OH,44125-1957,41.422951,-81.579347,,Large Suburb
Ohio Media School-Valley View,"9885 Rockside Rd., Suite 160",Valley View,OH,44125-4220,41.393531,-81.615624,,Large Suburb
Valley College-Cleveland,8700 Brookpark Road,Cleveland,OH,44129-6810,41.419409,-81.747723,,Large Suburb
Bryant & Stratton College-Parma,12955 Snow Rd,Parma,OH,44130-3151,41.404607,-81.781757,,Large Suburb
Polaris Career Center,7285 Old Oak Blvd,Middleburg Heights,OH,44130-3375,41.3644,-81.832474,,Large Suburb
Central School of Practical Nursing,"4700 Rockside Road, Summit I, Suite 250",Independence,OH,44131-0000,41.397093,-81.656988,,Large Suburb
Cuyahoga Valley Career Center,8001 Brecksville Road,Brecksville,OH,44141-1296,41.344555,-81.625375,,Large Suburb
Hiram College,M,Hiram,OH,44234-0067,41.3107,-81.143981,,Fringe Town
Kent State University at Kent,"Executive Office, 2nd Floor Library",Kent,OH,44242-0001,41.146653,-81.342533,,Large Suburb
Northeast Ohio Medical University,4209 State Route 44,Rootstown,OH,44272-0095,41.102919,-81.245302,,Large Suburb
Herzing University-Akron,"1600 South Arlington Street, Suite 100",Akron,OH,44306-3931,41.02817,-81.493109,,Large Suburb
University of Akron Main Campus,302 Buchtel Common,Akron,OH,44325-4702,41.078551,-81.511679,,Midsize City
Mahoning County Career and Technical Center,7300 N Palmyra Rd.,Canfield,OH,44406-9710,41.032696,-80.787668,,Large Suburb
ETI Technical College,2076 Youngstown Warren Rd,Niles,OH,44446-4398,41.18694,-80.723213,,Large Suburb
Hannah E Mullins School of Practical Nursing,"230 North Lincoln Avenue, Suite 3",Salem,OH,44460-2906,40.902408,-80.851045,,Fringe Town
Allegheny Wesleyan College,2161 Woodsdale Rd,Salem,OH,44460-9598,40.86722,-80.861232,,Rural Fringe
Choffin Career  and Technical Center,200 E Wood St.,Youngstown,OH,44503-1600,41.100847,-80.644393,,Small City
Youngstown State University,One University Plaza,Youngstown,OH,44555-0001,41.104928,-80.64659,,Small City
University of Mount Union,1972 Clark Ave.,Alliance,OH,44601-3929,40.905256,-81.111029,,Fringe Town
Kent State University at Tuscarawas,330 University Dr N.E.,New Philadelphia,OH,44663-9403,40.467736,-81.407707,,Distant Town
Buckeye Joint Vocational School,545 University Dr NE,New Philadelphia,OH,44663-9450,40.470531,-81.401957,,Rural Fringe
Ohio State University Agricultural Technical Institute,1328 Dover Rd,Wooster,OH,44691-4000,40.775194,-81.922936,,Distant Town
National Beauty College,4642 Cleveland Ave NW,Canton,OH,44709-1837,40.849493,-81.392278,,Small City
Malone University,2600 Cleveland Avenue NW,Canton,OH,44709-3308,40.825662,-81.376863,,Small City
Aultman College of Nursing and Health Sciences,2600 6th St SW,Canton,OH,44710-1797,40.796186,-81.404053,,Small City
Ross College-Canton,"4300 Munson Street, North West",Canton,OH,44718-3674,40.844938,-81.429021,,Large Suburb
Walsh University,2020 East Maple St,North Canton,OH,44720-3396,40.873908,-81.369931,,Large Suburb
Kent State University at Stark,6000 Frank Ave NW,Canton,OH,44720-7599,40.868568,-81.43731,,Large Suburb
Ashland County-West Holmes Career Center,1783 State Route 60,Ashland,OH,44805-9377,40.801018,-82.266808,,Rural Distant
Bowling Green State University-Firelands,One University Drive,Huron,OH,44839-9791,41.397521,-82.594156,,Rural Fringe
Elite School of Cosmetology,175 Benedict Avenue,Norwalk,OH,44857-2714,41.233614,-82.60795,,Distant Town
